Course_Number,Title,Category,AI_Metadata_Rating_10,Rating_Tier,Rating_Factors,Source_Rating_5,Source_Review_Count,Likes,Dislikes,Like_Ratio_Percent,Listed_Price_INR,Image_Path,Title_Language_Hint,Exact_Duplicate_Count,Rating_Note
"1075","YouTube Growth Course + AI Masterclass By TG Films HARKARAN SINGH","AI & Automation","9.5","Excellent metadata signal","strong source rating; high review volume; very positive reactions; clear/specific title","5","945","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2176_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1211","AI Engineering Accelerator Program By Outskill ( Founded By Vaibhav Sisinty )","AI & Automation","9.4","Excellent metadata signal","strong source rating; high review volume; very positive reactions; clear/specific title","5","877","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_510_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2957","ARTIFICIAL INTELLIGENCE FULL COURSE","AI & Automation","9.4","Excellent metadata signal","good source rating; high review volume; very positive reactions; clear/specific title","4.8","879","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2465_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2542","Data Analytics Bootcamp 3.0 With Practical Job Assistance AI for Data Analysts","AI & Automation","9.4","Excellent metadata signal","strong source rating; high review volume; very positive reactions; clear/specific title","4.9","824","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2371_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3346","Tech Burner Master AI Promoting Course (Brightso Academy 2024)","AI & Automation","9.4","Excellent metadata signal","strong source rating; high review volume; very positive reactions; clear/specific title","4.9","822","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_3041_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2751","3 Hours ChatGPT workshop Growth School","AI & Automation","9.3","Excellent metadata signal","strong source rating; high review volume; very positive reactions","5","907","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1534_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1234","Agentic AI - 1 Year Program By Ansh Mehra The Cutting Edge Academy","AI & Automation","9.3","Excellent metadata signal","strong source rating; high review volume; positive reactions; clear/specific title","4.9","878","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1745_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1759","AI Cinematic Trailer Mastery Self Paced","AI & Automation","9.3","Excellent metadata signal","strong source rating; high review volume; positive reactions; clear/specific title","5","753","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2129_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3370","AI for Marketing 2024 by GWORTH","AI & Automation","9.3","Excellent metadata signal","strong source rating; high review volume; very positive reactions","4.9","860","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2088_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1002","AI Generalist Accelerator Program By Outskills ( Founded By Vaibhav Sisinty ) Complete Course","AI & Automation","9.3","Excellent metadata signal","strong source rating; high review volume; very positive reactions","4.9","794","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1450_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
